earlier	later	earlier_name	later_name	relation
CL:0000961	CL:0000962	Bm1 B cell	Bm2 B cell	develops from
CL:0000962	CL:0000964	Bm2 B cell	Bm2' B cell	develops from
CL:0000964	CL:0000965	Bm2' B cell	Bm3 B cell	develops from
CL:0000965	CL:0000963	Bm3 B cell	Bm3-delta B cell	develops from
CL:0000963	CL:0000966	Bm3-delta B cell	Bm4 B cell	develops from
CL:0000966	CL:0000967	Bm4 B cell	Bm5 B cell	develops from
CL:0002397	CL:0002396	CD14-positive, CD16-positive monocyte	CD14-low, CD16-positive monocyte	develops from
CL:0002053	CL:0002055	CD22-positive, CD38-low small pre-B cell	CD38-negative immature B cell	develops from
CL:0002432	CL:0002436	CD24-positive, CD4 single-positive thymocyte	mature CD4 single-positive thymocyte	develops from
CL:0002434	CL:0002437	CD24-positive, CD8 single-positive thymocyte	mature CD8 single-positive thymocyte	develops from
CL:0002126	CL:0002125	CD25-positive, CD27-positive immature gamma-delta T cell	CD27-negative gamma-delta T cell	develops from
CL:0002126	CL:0002124	CD25-positive, CD27-positive immature gamma-delta T cell	CD27-positive gamma-delta T cell	develops from
CL:0002347	CL:0002348	CD27-high, CD11b-high natural killer cell, mouse	CD27-low, CD11b-high natural killer cell, mouse	develops from
CL:0002349	CL:0002347	CD27-high, CD11b-low natural killer cell, mouse	CD27-high, CD11b-high natural killer cell, mouse	develops from
CL:0002345	CL:0002349	CD27-low, CD11b-low immature natural killer cell, mouse	CD27-high, CD11b-low natural killer cell, mouse	develops from
CL:0002004	CL:0002013	CD34-negative, GlyA-negative proerythroblast	GlyA-positive basophilic erythroblast	develops from
CL:0001024	CL:0002043	CD34-positive, CD38-negative hematopoietic stem cell	CD34-positive, CD38-negative multipotent progenitor cell	develops from
CL:0002043	CL:0001021	CD34-positive, CD38-negative multipotent progenitor cell	CD34-positive, CD38-positive common lymphoid progenitor	develops from
CL:0002043	CL:0001026	CD34-positive, CD38-negative multipotent progenitor cell	CD34-positive, CD38-positive common myeloid progenitor	develops from
CL:0001021	CL:0001027	CD34-positive, CD38-positive common lymphoid progenitor	CD7-negative lymphoid progenitor cell	develops from
CL:0001026	CL:0002001	CD34-positive, CD38-positive common myeloid progenitor	CD34-positive, CD38-positive granulocyte monocyte progenitor	develops from
CL:0000995	CL:0000994	CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor	immature CD11c-negative plasmacytoid dendritic cell	develops from
CL:0002001	CL:0001022	CD34-positive, CD38-positive granulocyte monocyte progenitor	CD115-positive monocyte	develops from
